Flow_liquid,Pressure_liquid,Rotation_Speed,Flow_gas,Pressure_gas,Temperature_gas,CH2S,Temperature_liquid
0.163517242,0.011821712,0.039482081,-0.010984403,-0.00507128,-0.053247566,0.019466336,-0.023077119
-0.245237102,0.045595204,-0.18987115,0.060785086,-0.001640882,-0.015561286,-0.025120072,0.063879077
-0.135083777,-0.113799303,0.012899467,0.046651831,0.003378759,0.082181136,0.002590278,-0.01750364
-0.364323119,-0.174317449,0.114863166,0.043259175,0.019624313,0.085980076,-0.013257712,-0.053406207
0.16348045,0.016192278,0.04135575,0.018490731,-0.005134576,-0.050212872,0.018591428,-0.026546143
-0.056232864,-0.011030751,0.068690713,-0.040783055,-0.004871646,0.016258742,0.008713089,0.059645456
-0.026352353,-0.000454353,0.336939105,0.17386728,0.011340041,0.046886271,0.003536993,-0.159805657
0.153515692,0.170300234,-0.250755141,0.01977355,-0.003577773,0.014090943,0.001450065,0.112518011
-0.029484665,0.002366377,0.338664268,0.174269049,0.011288883,0.048796447,0.003525197,-0.158502565
-0.160561271,-0.111385217,0.023315564,0.004085673,0.002862066,0.060575851,0.002334632,-0.043403451
-0.067697607,-0.016881179,0.007420558,-0.00046315,-0.001568581,0.016473312,0.004049791,0.053343085
0.163835029,0.016470027,0.03777359,0.007291376,-0.002276432,-0.054289669,0.016402524,-0.031792588
-0.026113299,0.054838255,-0.108163227,-0.068139733,-0.001507664,0.011156387,0.00065868,-0.034734253
0.156449037,0.014744538,-0.000228283,-0.024532439,-0.00151871,-0.048042506,-0.005320201,-0.055403337
0.158044557,0.015870515,-0.004083016,-0.029187284,-0.003601634,-0.021195704,-0.004722361,-0.034029239
0.164564104,0.014325999,0.038801064,-0.005233923,-0.002151073,-0.053876943,0.017485545,-0.027962284
0.149694513,0.007359739,-0.034555783,-0.001772643,-0.002843968,-0.023299069,-0.001677185,-0.019388194
-0.072276455,-0.067184163,0.058376307,-0.145249837,-0.002697271,0.00349801,0.012312074,0.019244452
-0.057977931,-0.074868901,0.064390702,-0.21072113,-0.000506217,0.010452391,0.015290973,0.039553111
0.107749542,-0.007920111,-0.097845349,-0.037916784,-0.003931606,0.011919482,-0.003032964,-0.031739323
-0.25195264,0.044703814,-0.205440869,0.058088962,-0.001478455,-0.041194178,-0.025201077,0.055187699
-0.140924643,-0.112061915,0.015888629,0.023522376,0.003843204,0.07163816,0.00260258,-0.027421358
0.109917178,-0.002560073,-0.09440141,-0.048679249,-0.003303692,0.012029156,-0.00182022,-0.026563855
-0.024153496,-0.08522201,0.076790203,-0.243483134,0.002301028,0.007591616,0.014352331,0.041761283
-0.253183678,0.046184502,-0.212551546,0.057004772,-0.004405565,-0.041133238,-0.025535506,0.055183884
0.159677701,0.178981681,-0.243724644,0.052298556,-0.004796633,0.007807463,0.001838046,0.111679674
-0.040719728,0.001159039,-0.074930877,0.005206181,-0.002658047,0.010831483,-0.005637761,-0.053303279
-0.35854071,0.067759481,-0.079088589,-0.005336124,-0.005796416,0.008463028,0.016216128,-0.071913439
0.185029503,-0.009434265,0.027876147,0.032958492,-0.005186025,-0.053426918,0.025073054,-0.002242845
-0.119746256,0.044343196,0.027137652,-0.12122217,0.004467887,-0.010601282,0.003749208,0.069849383
0.158622025,0.011222604,-0.000725627,-0.012161492,-0.003545559,-0.043822619,-0.002865094,-0.045045981
-0.242866221,0.045819616,-0.18473386,0.061621442,-0.001689178,-0.011200336,-0.025072139,0.06592936
0.16338992,0.180064152,-0.242322723,0.054621168,-0.002802173,0.009627669,0.001958058,0.109607115
-0.060801536,-0.070552276,0.063137658,-0.177619197,-0.002638357,0.005857588,0.014257776,0.033326548
-0.23049054,0.028028447,-0.186531731,-0.028607491,-0.002156212,-0.043018974,-0.031062078,0.077083617
-0.130511953,-0.106358368,0.014096313,-0.01093517,0.0040048,0.064094616,0.002976387,-0.040312694
0.028250685,0.027162776,0.193039341,0.213372368,0.010518747,0.053961264,-0.005562763,-0.030344818
0.072867904,-0.066208181,0.084831907,-0.217307402,-0.002031496,0.008336643,-0.01111356,-0.000204735
0.158479239,0.015113943,-0.004693219,-0.026333355,-0.003132295,-0.023253169,-0.004578148,-0.0349086
-0.030702307,0.047343241,-0.103188921,-0.056465108,0.000461711,0.011281549,-0.000390579,-0.038582227
-0.054072636,-0.075397912,0.066181597,-0.177128026,-0.003404916,0.004925837,0.01274593,0.028430878
-0.195186075,0.04410017,0.018913038,-0.012305841,0.007762293,-0.012603213,0.004861318,0.07128708
-0.245043839,0.048334461,-0.201404059,0.059178747,-0.006170276,-0.026475821,-0.025342825,0.061622076
0.118416502,-0.368082717,0.108816145,0.007533189,0.008834298,0.005228774,0.013215746,0.395096655
-0.189633394,-0.006692988,-0.107338958,-0.206044076,-0.001040932,-0.035950359,-0.042640999,0.095626156
0.094463389,-0.124566208,0.098027119,-0.092282538,0.014388887,0.070088531,0.023426718,-0.149159468
0.10693377,-0.374335974,0.096588226,-0.000727323,0.010547085,0.009735833,0.013338108,0.390311104
-0.254998139,0.041339971,-0.214929898,0.035183102,-0.00292481,-0.036907321,-0.027064426,0.058315508
0.155753044,0.173618609,-0.248208871,0.032047081,-0.004128755,0.011819968,0.001592929,0.112268511
0.171052938,0.192064315,-0.239346635,0.073918372,-0.002939082,0.011596605,0.002391674,0.108228254
0.160058938,0.019926051,0.039256902,0.042743167,-0.006175516,-0.055882336,0.017492901,-0.031675437
0.160515195,0.014631059,0.032399497,-9.41E-05,-0.004008309,-0.059976028,0.016310815,-0.030001036
-0.04282932,-0.009374279,0.073960769,-0.043889037,-0.007046661,0.021100804,0.006654838,0.059761436
-0.108437791,-0.048589217,0.04596444,-0.107326688,-0.001019474,0.00485894,0.014079436,0.020927541
0.159968114,0.179647719,-0.244218701,0.055297137,-0.005115309,0.007436891,0.001864602,0.111861209
0.16286085,0.016113174,0.041135344,0.022662235,-0.007269865,-0.050739235,0.018465925,-0.027355419
0.083547993,-0.027390381,0.043869042,-0.102580757,-0.004633092,0.007691554,0.002997324,-0.019890817
